latitude,longitude,year,week,fire_cnt_before,fire_before,fire_cnt_last_year,fire_last_year,fire_cnt_last_year_same_week,fire_last_year_same_week,Mandal_Nam,Dist_Name,confidence
16.19,78.74,2022,11,0.137254902,0.019607843,0.098039216,0.039215686,0,0,Amrabad,Nagarkurnool,87.0
16.19,78.76,2022,11,0.058823529,0.019607843,0.137254902,0.039215686,0,0,Amrabad,Nagarkurnool,60.93216658
16.19,78.81,2022,11,0.058823529,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.19,78.85,2022,10,0.058823529,0.019607843,0.176470588,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.2,78.5,2022,9,0.058823529,0.019607843,0.0,0.0,0,0,Kollapur,Nagarkurnool,60.93216658
16.2,78.52,2022,11,0.058823529,0.019607843,0.0,0.0,0,0,Lingal,Nagarkurnool,60.93216658
16.2,78.61,2022,9,0.117647059,0.039215686,0.058823529,0.019607843,3,1,Amrabad,Nagarkurnool,85.0
16.2,78.65,2022,10,0.058823529,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,60.93216658
16.2,78.69,2022,10,0.098039216,0.019607843,0.039215686,0.019607843,2,1,Amrabad,Nagarkurnool,85.0
16.2,78.7,2022,11,0.117647059,0.039215686,0.196078431,0.039215686,0,0,Amrabad,Nagarkurnool,85.0
16.2,78.71,2022,11,0.058823529,0.019607843,0.215686275,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.2,78.74,2022,11,0.215686275,0.019607843,0.196078431,0.019607843,0,0,Amrabad,Nagarkurnool,91.0
16.2,78.77,2022,11,0.098039216,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,85.0
16.2,78.81,2022,11,0.156862745,0.039215686,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,87.0
16.2,78.82,2022,11,0.078431373,0.019607843,0.039215686,0.019607843,0,0,Amrabad,Nagarkurnool,80.93216658
16.2,78.85,2022,10,0.058823529,0.019607843,0.098039216,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.2,78.88,2022,10,0.058823529,0.019607843,0.098039216,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.2,78.89,2022,10,0.058823529,0.019607843,0.058823529,0.039215686,0,0,Amrabad,Nagarkurnool,60.93216658
16.2,78.91,2022,10,0.058823529,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.21,78.63,2022,10,0.078431373,0.039215686,0.078431373,0.039215686,0,0,Amrabad,Nagarkurnool,68.88637261
