latitude,longitude,acq_date,acq_time,satellite,instrument,year,month,week,duration,Mandal_Nam,Dist_Name,confidence
18.41706,77.96899,2023-02-20,20:29,1,VIIRS,2023,2,8,7d,Banswada,Kamareddy,50
18.41855,80.61037,2023-02-26,7:45,1,VIIRS,2023,2,8,24h,Wazeed,Mulugu,50
18.41855,80.61037,2023-02-26,7:45,1,VIIRS,2023,2,8,48h,Wazeed,Mulugu,50
18.41855,80.61037,2023-02-26,7:45,1,VIIRS,2023,2,8,7d,Wazeed,Mulugu,50
18.41932,80.69662,2023-02-21,20:10,1,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.42016,80.56326,2023-02-25,20:36,1,VIIRS,2023,2,8,48h,Wazeed,Mulugu,50
18.42016,80.56326,2023-02-25,20:36,1,VIIRS,2023,2,8,7d,Wazeed,Mulugu,50
18.42084,80.55008,2023-02-27,20:50,N,VIIRS,2023,2,9,24h,Wazeed,Mulugu,50
18.42084,80.55008,2023-02-27,20:50,N,VIIRS,2023,2,9,48h,Wazeed,Mulugu,50
18.42084,80.55008,2023-02-27,20:50,N,VIIRS,2023,2,9,7d,Wazeed,Mulugu,50
18.42142,80.54904,2023-02-27,19:57,1,VIIRS,2023,2,9,24h,Wazeed,Mulugu,50
18.42142,80.54904,2023-02-27,19:57,1,VIIRS,2023,2,9,48h,Wazeed,Mulugu,50
18.42142,80.54904,2023-02-27,19:57,1,VIIRS,2023,2,9,7d,Wazeed,Mulugu,50
18.42142,80.5576,2023-02-26,20:16,1,VIIRS,2023,2,8,24h,Wazeed,Mulugu,50
18.42142,80.5576,2023-02-26,20:16,1,VIIRS,2023,2,8,48h,Wazeed,Mulugu,50
18.42142,80.5576,2023-02-26,20:16,1,VIIRS,2023,2,8,7d,Wazeed,Mulugu,50
18.42319,80.69353,2023-02-21,20:10,1,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.42357,80.13016,2023-02-27,8:20,N,VIIRS,2023,2,9,24h,Bhupalpally,Jayashankar Bhupalpally,50
18.42357,80.13016,2023-02-27,8:20,N,VIIRS,2023,2,9,48h,Bhupalpally,Jayashankar Bhupalpally,50
18.42357,80.13016,2023-02-27,8:20,N,VIIRS,2023,2,9,7d,Bhupalpally,Jayashankar Bhupalpally,50
18.42452,80.68064,2023-02-23,7:01,1,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.42472,80.5582,2023-02-26,20:16,1,VIIRS,2023,2,8,24h,Wazeed,Mulugu,50
18.42472,80.5582,2023-02-26,20:16,1,VIIRS,2023,2,8,48h,Wazeed,Mulugu,50
18.42472,80.5582,2023-02-26,20:16,1,VIIRS,2023,2,8,7d,Wazeed,Mulugu,50
18.4252,80.54959,2023-02-27,19:57,1,VIIRS,2023,2,9,24h,Wazeed,Mulugu,50
18.4252,80.54959,2023-02-27,19:57,1,VIIRS,2023,2,9,48h,Wazeed,Mulugu,50
18.4252,80.54959,2023-02-27,19:57,1,VIIRS,2023,2,9,7d,Wazeed,Mulugu,50
18.42567,80.59768,2023-02-25,19:46,N,VIIRS,2023,2,8,48h,Wazeed,Mulugu,50
18.42567,80.59768,2023-02-25,19:46,N,VIIRS,2023,2,8,7d,Wazeed,Mulugu,50
18.42573,80.64747,2023-02-21,7:39,1,VIIRS,2023,2,8,7d,Wazeed,Mulugu,50
18.42579,80.55117,2023-02-27,8:20,N,VIIRS,2023,2,9,24h,Wazeed,Mulugu,50
18.42579,80.55117,2023-02-27,8:20,N,VIIRS,2023,2,9,48h,Wazeed,Mulugu,50
18.42579,80.55117,2023-02-27,8:20,N,VIIRS,2023,2,9,7d,Wazeed,Mulugu,50
18.42587,80.54467,2023-02-27,19:57,1,VIIRS,2023,2,9,24h,Wazeed,Mulugu,50
